1 ; Max Aarons ; ENG ; DF ; Norwich City ; Premier League ; 22 ; 2000 ; 34 ; 32
728 ; Sinaly Diomande ; CIV ; DF ; Lyon ; Ligue 1 ; 21 ; 2001 ; 11 ; 5
729 ; Issa Diop ; FRA ; DF ; West Ham ; Premier League ; 25 ; 1997 ; 13 ; 10
730 ; Sofiane Diop ; FRA ; MFFW ; Monaco ; Ligue 1 ; 21 ; 2000 ; 30 ; 24
731 ; Andy Diouf ; FRA ; MF ; Rennes ; Ligue 1 ; 20 ; 2002 ; 5 ; 0
732 ; Assane Dioussé ; SEN ; MF ; Saint-Étienne ; Ligue 1 ; 24 ; 1997 ; 4 ; 0
733 ; Axel Disasi ; FRA ; DF ; Monaco ; Ligue 1 ; 24 ; 1998 ; 32 ; 30
734 ; Filippo Distefano ; ITA ; FW ; Fiorentina ; Serie A ; 18 ; 2003 ; 1 ; 0
735 ; Matías Dituro ; ARG ; GK ; Celta Vigo ; La Liga ; 35 ; 1987 ; 38 ; 38
736 ; Tiago Djaló ; POR ; DF ; Lille ; Ligue 1 ; 22 ; 2000 ; 28 ; 26
737 ; Djené ; TOG ; DF ; Getafe ; La Liga ; 30 ; 1991 ; 35 ; 35
738 ; Moussa Djenepo ; MLI ; MF ; Southampton ; Premier League ; 23 ; 1998 ; 12 ; 5
739 ; Koffi Djidji ; CIV ; DF ; Torino ; Serie A ; 29 ; 1992 ; 25 ; 21
740 ; Alexander Djiku ; GHA ; DF ; Strasbourg ; Ligue 1 ; 27 ; 1994 ; 31 ; 30
741 ; Bryan Djile Nokoué ; CMR ; DFMF ; Saint-Étienne ; Ligue 1 ; 20 ; 2002 ; 2 ; 0
742 ; Berat Djimsiti ; ALB ; DF ; Atalanta ; Serie A ; 29 ; 1993 ; 31 ; 25
743 ; Ouparine Djoco ; SEN ; GK ; Clermont Foot ; Ligue 1 ; 24 ; 1998 ; 24 ; 23
744 ; Naďs Djouahra ; FRA ; FWMF ; Real Sociedad ; La Liga ; 22 ; 1999 ; 7 ; 1
745 ; Marko Dmitrovi? ; SRB ; GK ; Sevilla ; La Liga ; 30 ; 1992 ; 6 ; 6
746 ; Lewis Dobbin ; ENG ; FWMF ; Everton ; Premier League ; 19 ; 2003 ; 3 ; 0
747 ; Matt Doherty ; IRL ; DF ; Tottenham ; Premier League ; 30 ; 1992 ; 15 ; 9
748 ; Jeremy Doku ; BEL ; FWMF ; Rennes ; Ligue 1 ; 20 ; 2002 ; 14 ; 4
749 ; Kasper Dolberg ; DEN ; FW ; Nice ; Ligue 1 ; 24 ; 1997 ; 26 ; 19
750 ; Jaume Doménech ; ESP ; GK ; Valencia ; La Liga ; 31 ; 1990 ; 4 ; 3
751 ; Brandon Domingues ; FRA ; MFFW ; Troyes ; Ligue 1 ; 21 ; 2000 ; 11 ; 1
752 ; Carlos Dominguez ; ESP ; DF ; Celta Vigo ; La Liga ; 21 ; 2001 ; 8 ; 3
753 ; Mario Dominguez ; ESP ; FW ; Valencia ; La Liga ; 18 ; 2004 ; 2 ; 0
754 ; Nicolás Domínguez ; ARG ; MF ; Bologna ; Serie A ; 23 ; 1998 ; 28 ; 23
755 ; John Donald ; ESP ; DF ; Elche ; La Liga ; 21 ; 2000 ; 2 ; 2
756 ; Lee Dongjun ; KOR ; MF ; Hertha BSC ; Bundesliga ; 25 ; 1997 ; 4 ; 1
757 ; Anastasios Donis ; GRE ; FWMF ; Reims ; Ligue 1 ; 25 ; 1996 ; 13 ; 3
758 ; Gianluigi Donnarumma ; ITA ; GK ; Paris S-G ; Ligue 1 ; 23 ; 1999 ; 17 ; 17
759 ; Niklas Dorsch ; GER ; MF ; Augsburg ; Bundesliga ; 24 ; 1998 ; 30 ; 27
760 ; Gabriel Dos Santos ; BRA ; DF ; Arsenal ; Premier League ; 24 ; 1997 ; 35 ; 35
761 ; Jodel Dossou ; BEN ; FW ; Clermont Foot ; Ligue 1 ; 30 ; 1992 ; 35 ; 23
762 ; Lucas Douath ; FRA ; MF ; Saint-Étienne ; Ligue 1 ; 18 ; 2003 ; 31 ; 20
763 ; Lohann Doucet ; FRA ; MF ; Nantes ; Ligue 1 ; 19 ; 2002 ; 2 ; 0
764 ; Abdoulaye Doucouré ; MLI ; MF ; Everton ; Premier League ; 29 ; 1993 ; 30 ; 29
765 ; Cheick Doucouré ; MLI ; MF ; Lens ; Ligue 1 ; 22 ; 2000 ; 34 ; 33
766 ; Fodé Doucouré ; MLI ; DF ; Reims ; Ligue 1 ; 21 ; 2001 ; 3 ; 1
767 ; Ismaël Doukouré ; FRA ; DF ; Strasbourg ; Ligue 1 ; 18 ; 2003 ; 1 ; 0
768 ; Kamory Doumbia ; FRA ; MFFW ; Reims ; Ligue 1 ; 19 ; 2003 ; 8 ; 2
769 ; Moussa Doumbia ; MLI ; FW ; Reims ; Ligue 1 ; 27 ; 1994 ; 4 ; 0
770 ; Souleyman Doumbia ; CIV ; DF ; Angers ; Ligue 1 ; 25 ; 1996 ; 27 ; 27
771 ; Kieran Dowell ; ENG ; FWMF ; Norwich City ; Premier League ; 24 ; 1997 ; 19 ; 11
772 ; Bart?omiej Dr?gowski ; POL ; GK ; Fiorentina ; Serie A ; 24 ; 1997 ; 7 ; 7
773 ; Radu Dr?gu?in ; ROU ; DF ; Salernitana ; Serie A ; 20 ; 2002 ; 7 ; 5
774 ; Radu Dr?gu?in ; ROU ; DF ; Sampdoria ; Serie A ; 20 ; 2002 ; 13 ; 4
775 ; Cody Drameh ; ENG ; DF ; Leeds United ; Premier League ; 20 ; 2001 ; 3 ; 1
776 ; Julian Draxler ; GER ; FWMF ; Paris S-G ; Ligue 1 ; 28 ; 1993 ; 18 ; 5
777 ; Matthieu Dreyer ; FRA ; GK ; Lorient ; Ligue 1 ; 33 ; 1989 ; 16 ; 16
778 ; Domingos Duarte ; POR ; DF ; Granada ; La Liga ; 27 ; 1995 ; 21 ; 19
779 ; Óscar Duarte ; CRC ; DF ; Levante ; La Liga ; 32 ; 1989 ; 23 ; 20
780 ; Rubén Duarte ; ESP ; DF ; Alavés ; La Liga ; 26 ; 1995 ; 34 ; 31
781 ; Leo Dubois ; FRA ; DF ; Lyon ; Ligue 1 ; 27 ; 1994 ; 23 ; 20
782 ; Martin Dúbravka ; SVK ; GK ; Newcastle Utd ; Premier League ; 33 ; 1989 ; 26 ; 26
783 ; Ondrej Duda ; SVK ; MF ; Köln ; Bundesliga ; 27 ; 1994 ; 31 ; 20
784 ; Jeremy Dudziak ; TUN ; MFFW ; Greuther Fürth ; Bundesliga ; 26 ; 1995 ; 22 ; 15
785 ; Shane Duffy ; IRL ; DF ; Brighton ; Premier League ; 30 ; 1992 ; 18 ; 15
786 ; Unai Dufur ; ESP ; DF ; Osasuna ; La Liga ; 23 ; 1999 ; 1 ; 1
787 ; Denzel Dumfries ; NED ; DF ; Inter ; Serie A ; 26 ; 1996 ; 33 ; 21
788 ; Paul Dummett ; WAL ; DF ; Newcastle Utd ; Premier League ; 30 ; 1991 ; 3 ; 2
789 ; Alfred Duncan ; GHA ; MF ; Fiorentina ; Serie A ; 29 ; 1993 ; 33 ; 21
790 ; Lewis Dunk ; ENG ; DF ; Brighton ; Premier League ; 30 ; 1991 ; 29 ; 29
791 ; Erik Durm ; GER ; DF ; Eint Frankfurt ; Bundesliga ; 30 ; 1992 ; 7 ; 7
792 ; Hugo Duro ; ESP ; FWMF ; Valencia ; La Liga ; 22 ; 1999 ; 30 ; 22
793 ; Hugo Duro ; ESP ; DFMF ; Getafe ; La Liga ; 22 ; 1999 ; 1 ; 0
794 ; Jean-Kevin Duverne ; FRA ; DF ; Brest ; Ligue 1 ; 24 ; 1997 ; 37 ; 33
795 ; Paulo Dybala ; ARG ; FWMF ; Juventus ; Serie A ; 28 ; 1993 ; 29 ; 26
796 ; Edin D?eko ; BIH ; FW ; Inter ; Serie A ; 36 ; 1986 ; 36 ; 27
797 ; Enzo Ebosse ; CMR ; DF ; Angers ; Ligue 1 ; 23 ; 1999 ; 27 ; 21
798 ; Tyronne Ebuehi ; NGA ; DF ; Venezia ; Serie A ; 26 ; 1995 ; 19 ; 12
799 ; Éderson ; BRA ; MF ; Salernitana ; Serie A ; 22 ; 1999 ; 15 ; 13
800 ; Ederson ; BRA ; GK ; Manchester City ; Premier League ; 28 ; 1993 ; 37 ; 37
801 ; Odsonne Édouard ; FRA ; FW ; Crystal Palace ; Premier League ; 24 ; 1998 ; 28 ; 18
802 ; CJ Egan-Riley ; ENG ; DF ; Manchester City ; Premier League ; 19 ; 2003 ; 1 ; 0
803 ; Maximilian Eggestein ; GER ; MF ; Freiburg ; Bundesliga ; 25 ; 1996 ; 31 ; 26
804 ; Lilian Egloff ; GER ; FWMF ; Stuttgart ; Bundesliga ; 19 ; 2002 ; 4 ; 0
805 ; Kingsley Ehizibue ; NED ; DF ; Köln ; Bundesliga ; 27 ; 1995 ; 16 ; 6
806 ; Julian Eitschberger ; GER ; DF ; Hertha BSC ; Bundesliga ; 18 ; 2004 ; 1 ; 1
807 ; Albin Ekdal ; SWE ; MF ; Sampdoria ; Serie A ; 32 ; 1989 ; 26 ; 19
808 ; Hugo Ekitike ; FRA ; FW ; Reims ; Ligue 1 ; 19 ; 2002 ; 24 ; 15
809 ; Jurgen Ekkelenkamp ; NED ; MFFW ; Hertha BSC ; Bundesliga ; 22 ; 2000 ; 21 ; 6
810 ; Caleb Ekuban ; GHA ; FWMF ; Genoa ; Serie A ; 28 ; 1994 ; 30 ; 18
811 ; Anthony Elanga ; SWE ; FW ; Manchester Utd ; Premier League ; 20 ; 2002 ; 21 ; 14
812 ; Alberth Elis ; HON ; FWMF ; Bordeaux ; Ligue 1 ; 26 ; 1996 ; 20 ; 16
813 ; Harvey Elliott ; ENG ; MF ; Liverpool ; Premier League ; 19 ; 2003 ; 6 ; 4
814 ; Elif Elmas ; MKD ; FWMF ; Napoli ; Serie A ; 22 ; 1999 ; 37 ; 12
815 ; Mohamed Elneny ; EGY ; MF ; Arsenal ; Premier League ; 29 ; 1992 ; 14 ; 8
816 ; Aritz Elustondo ; ESP ; DF ; Real Sociedad ; La Liga ; 28 ; 1994 ; 30 ; 22
817 ; Nico Elvedi ; SUI ; DF ; M'Gladbach ; Bundesliga ; 25 ; 1996 ; 28 ; 28
818 ; Sepe Elye Wahi ; FRA ; FW ; Montpellier ; Ligue 1 ; 19 ; 2003 ; 33 ; 21
819 ; Mohamed Elyounoussi ; NOR ; MFFW ; Southampton ; Premier League ; 27 ; 1994 ; 30 ; 23
820 ; Adri Embarba ; ESP ; FWMF ; Espanyol ; La Liga ; 30 ; 1992 ; 32 ; 24
821 ; Breel Embolo ; SUI ; FWMF ; M'Gladbach ; Bundesliga ; 25 ; 1997 ; 29 ; 24
822 ; Emerson ; BRA ; DF ; Tottenham ; Premier League ; 23 ; 1999 ; 31 ; 26
823 ; Emerson ; BRA ; DF ; Barcelona ; La Liga ; 23 ; 1999 ; 3 ; 1
824 ; Renaud Emond ; BEL ; MFFW ; Nantes ; Ligue 1 ; 30 ; 1991 ; 6 ; 2
825 ; Youssef En-Nesyri ; MAR ; FW ; Sevilla ; La Liga ; 24 ; 1997 ; 23 ; 15
826 ; Keita Endo ; JPN ; MFFW ; Union Berlin ; Bundesliga ; 24 ; 1997 ; 4 ; 0
827 ; Wataru Endo ; JPN ; MF ; Stuttgart ; Bundesliga ; 29 ; 1993 ; 33 ; 33
828 ; Christian Eriksen ; DEN ; MF ; Brentford ; Premier League ; 30 ; 1992 ; 11 ; 10
829 ; Martin Erlic ; CRO ; DF ; Spezia ; Serie A ; 24 ; 1998 ; 30 ; 30
830 ; Gonzalo Escalante ; ARG ; MF ; Lazio ; Serie A ; 29 ; 1993 ; 1 ; 0
831 ; Gonzalo Escalante ; ARG ; MF ; Alavés ; La Liga ; 29 ; 1993 ; 17 ; 15
832 ; Aarón Escandell ; ESP ; GK ; Granada ; La Liga ; 26 ; 1995 ; 4 ; 3
833 ; Sergio Escudero ; ESP ; DFMF ; Granada ; La Liga ; 32 ; 1989 ; 27 ; 15
834 ; Alfonso Espino ; URU ; DF ; Cádiz ; La Liga ; 30 ; 1992 ; 37 ; 37
835 ; Michael Esser ; GER ; GK ; Bochum ; Bundesliga ; 34 ; 1987 ; 3 ; 3
836 ; Estanis ; ESP ; FW ; Barcelona ; La Liga ; 18 ; 2003 ; 1 ; 0
837 ; Maxime Estčve ; FRA ; DF ; Montpellier ; Ligue 1 ; 20 ; 2002 ; 24 ; 20
838 ; Pervis Estupińán ; ECU ; DF ; Villarreal ; La Liga ; 24 ; 1998 ; 28 ; 17
839 ; Oghenekaro Etebo ; NGA ; MF ; Watford ; Premier League ; 26 ; 1995 ; 9 ; 4
840 ; Jonny Evans ; NIR ; DF ; Leicester City ; Premier League ; 34 ; 1988 ; 18 ; 16
841 ; Eberechi Eze ; ENG ; MFFW ; Crystal Palace ; Premier League ; 23 ; 1998 ; 13 ; 6
842 ; Abdessamad Ezzalzouli ; MAR ; FWDF ; Barcelona ; La Liga ; 20 ; 2001 ; 10 ; 6
843 ; ?ukasz Fabia?ski ; POL ; GK ; West Ham ; Premier League ; 37 ; 1985 ; 37 ; 37
844 ; Fabinho ; BRA ; MF ; Liverpool ; Premier League ; 28 ; 1993 ; 29 ; 26
845 ; Fábio ; BRA ; DF ; Nantes ; Ligue 1 ; 31 ; 1990 ; 27 ; 21
846 ; Cesc Fŕbregas ; ESP ; MF ; Monaco ; Ligue 1 ; 35 ; 1987 ; 2 ; 0
847 ; Wout Faes ; BEL ; DF ; Reims ; Ligue 1 ; 24 ; 1998 ; 37 ; 37
848 ; Wahidullah Faghir ; DEN ; FW ; Stuttgart ; Bundesliga ; 18 ; 2003 ; 6 ; 0
849 ; Romain Faivre ; FRA ; MF ; Brest ; Ligue 1 ; 23 ; 1998 ; 21 ; 20
850 ; Romain Faivre ; FRA ; FWMF ; Lyon ; Ligue 1 ; 23 ; 1998 ; 14 ; 9
851 ; Radamel Falcao ; COL ; FW ; Rayo Vallecano ; La Liga ; 36 ; 1986 ; 22 ; 8
852 ; Diego Falcinelli ; ITA ; FWMF ; Bologna ; Serie A ; 30 ; 1991 ; 6 ; 0
853 ; Wladimiro Falcone ; ITA ; GK ; Sampdoria ; Serie A ; 27 ; 1995 ; 10 ; 9
854 ; Fali ; ESP ; DFMF ; Cádiz ; La Liga ; 28 ; 1993 ; 28 ; 23
855 ; Paolo Faragň ; ITA ; MF ; Cagliari ; Serie A ; 29 ; 1993 ; 1 ; 0
856 ; Omar Faraj ; SWE ; FW ; Levante ; La Liga ; 20 ; 2002 ; 1 ; 0
857 ; Davide Faraoni ; ITA ; DF ; Hellas Verona ; Serie A ; 30 ; 1991 ; 32 ; 30
858 ; Mohamed Fares ; ALG ; DFFW ; Genoa ; Serie A ; 26 ; 1996 ; 9 ; 6
859 ; Diego Farias ; BRA ; MFFW ; Cagliari ; Serie A ; 32 ; 1990 ; 4 ; 0
860 ; Wuilker Faríńez ; VEN ; GK ; Lens ; Ligue 1 ; 24 ; 1998 ; 13 ; 11
861 ; Ömer Faruk Beyaz ; TUR ; FWDF ; Stuttgart ; Bundesliga ; 18 ; 2003 ; 4 ; 0
862 ; Noah Fatar ; FRA ; DFMF ; Angers ; Ligue 1 ; 20 ; 2002 ; 3 ; 0
863 ; Ansu Fati ; ESP ; FW ; Barcelona ; La Liga ; 19 ; 2002 ; 10 ; 3
864 ; Julien Faussurier ; FRA ; MFDF ; Brest ; Ligue 1 ; 35 ; 1987 ; 16 ; 4
865 ; Andrea Favilli ; ITA ; FW ; Genoa ; Serie A ; 25 ; 1997 ; 1 ; 0
866 ; Federico Fazio ; ARG ; DF ; Salernitana ; Serie A ; 35 ; 1987 ; 16 ; 16
867 ; Aleix Febas ; ESP ; MF ; Mallorca ; La Liga ; 26 ; 1996 ; 4 ; 1
868 ; Adrian Fein ; GER ; MF ; Greuther Fürth ; Bundesliga ; 23 ; 1999 ; 3 ; 0
869 ; Nabil Fekir ; FRA ; MF ; Betis ; La Liga ; 28 ; 1993 ; 34 ; 33
870 ; Felipe ; BRA ; DF ; Atlético Madrid ; La Liga ; 33 ; 1989 ; 26 ; 15
871 ; Luiz Felipe ; ITA ; DF ; Lazio ; Serie A ; 25 ; 1997 ; 31 ; 28
872 ; Ohis Felix Uduokhai ; GER ; DF ; Augsburg ; Bundesliga ; 24 ; 1997 ; 13 ; 8
873 ; Joăo Félix ; POR ; FWMF ; Atlético Madrid ; La Liga ; 22 ; 1999 ; 24 ; 13
874 ; Kiko Femenía ; ESP ; DF ; Watford ; Premier League ; 31 ; 1991 ; 27 ; 26
875 ; Evan Ferguson ; IRL ; MF ; Brighton ; Premier League ; 17 ; 2004 ; 1 ; 0
876 ; Nathan Ferguson ; ENG ; DF ; Crystal Palace ; Premier League ; 21 ; 2000 ; 1 ; 0
877 ; Bruno Fernandes ; POR ; MF ; Manchester Utd ; Premier League ; 27 ; 1994 ; 36 ; 35
878 ; Edimilson Fernandes ; SUI ; DFFW ; Arminia ; Bundesliga ; 26 ; 1996 ; 7 ; 2
879 ; Aitor Fernández ; ESP ; GK ; Levante ; La Liga ; 31 ; 1991 ; 13 ; 13
880 ; Álex Fernández ; ESP ; MF ; Cádiz ; La Liga ; 29 ; 1992 ; 32 ; 22
881 ; Álvaro Fernández ; ESP ; GK ; Brentford ; Premier League ; 24 ; 1998 ; 12 ; 12
882 ; Federico Fernández ; ARG ; DF ; Newcastle Utd ; Premier League ; 33 ; 1989 ; 7 ; 5
883 ; Fernandinho ; BRA ; MFDF ; Manchester City ; Premier League ; 37 ; 1985 ; 19 ; 10
884 ; Fernando ; BRA ; MFDF ; Sevilla ; La Liga ; 34 ; 1987 ; 24 ; 21
885 ; Alex Ferrari ; ITA ; DF ; Sampdoria ; Serie A ; 27 ; 1994 ; 23 ; 20
886 ; Salvador Ferrer ; ESP ; DFMF ; Spezia ; Serie A ; 24 ; 1998 ; 27 ; 14
887 ; Jordan Ferri ; FRA ; MF ; Montpellier ; Ligue 1 ; 30 ; 1992 ; 34 ; 33
888 ; Riccardo Fiamozzi ; ITA ; DF ; Empoli ; Serie A ; 29 ; 1993 ; 10 ; 7
889 ; Fidel ; ESP ; MFFW ; Elche ; La Liga ; 32 ; 1989 ; 33 ; 29
890 ; Karol Fila ; POL ; DF ; Strasbourg ; Ligue 1 ; 23 ; 1998 ; 16 ; 7
891 ; Alfre? Finnbogason ; ISL ; FWMF ; Augsburg ; Bundesliga ; 33 ; 1989 ; 10 ; 3
892 ; Luca Fiordilino ; ITA ; MF ; Venezia ; Serie A ; 25 ; 1996 ; 15 ; 5
893 ; Vincenzo Fiorillo ; ITA ; GK ; Salernitana ; Serie A ; 32 ; 1990 ; 1 ; 1
894 ; Roberto Firmino ; BRA ; FW ; Liverpool ; Premier League ; 30 ; 1991 ; 20 ; 10
895 ; Junior Firpo ; ESP ; DF ; Leeds United ; Premier League ; 25 ; 1996 ; 24 ; 19
896 ; Mark Flekken ; NED ; GK ; Freiburg ; Bundesliga ; 28 ; 1993 ; 32 ; 32
897 ; Ashley Fletcher ; ENG ; FW ; Watford ; Premier League ; 26 ; 1995 ; 3 ; 0
898 ; Alexis Flips ; FRA ; FWMF ; Reims ; Ligue 1 ; 22 ; 2000 ; 25 ; 13
899 ; Alessandro Florenzi ; ITA ; DFFW ; Milan ; Serie A ; 31 ; 1991 ; 24 ; 12
900 ; Phil Foden ; ENG ; FW ; Manchester City ; Premier League ; 22 ; 2000 ; 28 ; 24
901 ; Mamadou Fofana ; MLI ; DF ; Metz ; Ligue 1 ; 24 ; 1998 ; 1 ; 0
902 ; Seko Fofana ; CIV ; MF ; Lens ; Ligue 1 ; 27 ; 1995 ; 38 ; 38
903 ; Wesley Fofana ; FRA ; DF ; Leicester City ; Premier League ; 21 ; 2000 ; 7 ; 7
904 ; Youssouf Fofana ; FRA ; MF ; Monaco ; Ligue 1 ; 23 ; 1999 ; 33 ; 23
905 ; Thomas Foket ; BEL ; DFMF ; Reims ; Ligue 1 ; 27 ; 1994 ; 29 ; 26
906 ; Thomas Fontaine ; MAD ; DF ; Lorient ; Ligue 1 ; 31 ; 1991 ; 2 ; 2
907 ; José Fontán ; ESP ; DF ; Celta Vigo ; La Liga ; 22 ; 2000 ; 9 ; 3
908 ; José Fonte ; POR ; DF ; Lille ; Ligue 1 ; 38 ; 1983 ; 38 ; 38
909 ; Fernando Forestieri ; ITA ; FWMF ; Udinese ; Serie A ; 32 ; 1990 ; 4 ; 0
910 ; Pablo Fornals ; ESP ; FWMF ; West Ham ; Premier League ; 26 ; 1996 ; 36 ; 32
911 ; Emil Forsberg ; SWE ; MFFW ; RB Leipzig ; Bundesliga ; 30 ; 1991 ; 31 ; 20
912 ; Adam Forshaw ; ENG ; MF ; Leeds United ; Premier League ; 30 ; 1991 ; 22 ; 17
913 ; Marcus Forss ; FIN ; FWMF ; Brentford ; Premier League ; 22 ; 1999 ; 7 ; 1
914 ; Fraser Forster ; ENG ; GK ; Southampton ; Premier League ; 34 ; 1988 ; 19 ; 19
915 ; Philipp Förster ; GER ; FWMF ; Stuttgart ; Bundesliga ; 27 ; 1995 ; 20 ; 11
916 ; Francesco Forte ; ITA ; FW ; Venezia ; Serie A ; 29 ; 1993 ; 12 ; 4
917 ; Steven Fortes ; CPV ; DF ; Lens ; Ligue 1 ; 30 ; 1992 ; 1 ; 1
918 ; Ben Foster ; ENG ; GK ; Watford ; Premier League ; 39 ; 1983 ; 26 ; 26
919 ; Tariqe Fosu ; GHA ; DF ; Brentford ; Premier League ; 26 ; 1995 ; 1 ; 0
920 ; Timothy Fosu-Mensah ; NED ; DF ; Leverkusen ; Bundesliga ; 24 ; 1998 ; 6 ; 0
921 ; Dimitri Foulquier ; FRA ; DF ; Granada ; La Liga ; 29 ; 1993 ; 2 ; 2
922 ; Dimitri Foulquier ; FRA ; DF ; Valencia ; La Liga ; 29 ; 1993 ; 29 ; 25
923 ; Juan Foyth ; ARG ; DF ; Villarreal ; La Liga ; 24 ; 1998 ; 25 ; 22
924 ; Gianluca Frabotta ; ITA ; DFFW ; Hellas Verona ; Serie A ; 22 ; 1999 ; 2 ; 0
925 ; Raphael Framberger ; GER ; DF ; Augsburg ; Bundesliga ; 26 ; 1995 ; 23 ; 9
926 ; Przemys?aw Frankowski ; POL ; DF ; Lens ; Ligue 1 ; 27 ; 1995 ; 37 ; 28
927 ; Enric Franquesa ; ESP ; DF ; Levante ; La Liga ; 25 ; 1997 ; 16 ; 6
928 ; Fransérgio ; BRA ; MF ; Bordeaux ; Ligue 1 ; 31 ; 1990 ; 26 ; 14
929 ; Ryan Fraser ; SCO ; FWMF ; Newcastle Utd ; Premier League ; 28 ; 1994 ; 27 ; 18
930 ; Davide Frattesi ; ITA ; MF ; Sassuolo ; Serie A ; 22 ; 1999 ; 36 ; 35
931 ; Fred ; BRA ; MF ; Manchester Utd ; Premier League ; 29 ; 1993 ; 28 ; 24
932 ; Ryan Fredericks ; ENG ; DF ; West Ham ; Premier League ; 29 ; 1992 ; 7 ; 3
933 ; Morten Frendrup ; DEN ; DFMF ; Genoa ; Serie A ; 21 ; 2001 ; 10 ; 6
934 ; Remo Freuler ; SUI ; MF ; Atalanta ; Serie A ; 30 ; 1992 ; 29 ; 28
935 ; Marvin Friedrich ; GER ; DF ; Union Berlin ; Bundesliga ; 26 ; 1995 ; 13 ; 13
936 ; Marvin Friedrich ; GER ; DF ; M'Gladbach ; Bundesliga ; 26 ; 1995 ; 8 ; 7
937 ; Jeremie Frimpong ; NED ; DF ; Leverkusen ; Bundesliga ; 21 ; 2000 ; 25 ; 25
938 ; Christian Früchtl ; GER ; GK ; Bayern Munich ; Bundesliga ; 22 ; 2000 ; 1 ; 0
939 ; Jorge de Frutos ; ESP ; MFFW ; Levante ; La Liga ; 25 ; 1997 ; 25 ; 20
940 ; Leo Fuhr Hjelde ; NOR ; DF ; Leeds United ; Premier League ; 18 ; 2003 ; 2 ; 0
941 ; Chris Führich ; GER ; MFFW ; Stuttgart ; Bundesliga ; 24 ; 1998 ; 25 ; 21
942 ; Angelo Fulgini ; FRA ; MFFW ; Angers ; Ligue 1 ; 25 ; 1996 ; 36 ; 35
943 ; Marius Funk ; GER ; GK ; Greuther Fürth ; Bundesliga ; 26 ; 1996 ; 8 ; 8
944 ; Stephan Fürstner ; GER ; MF ; Mainz 05 ; Bundesliga ; 34 ; 1987 ; 1 ; 0
945 ; Matteo Gabbia ; ITA ; DF ; Milan ; Serie A ; 22 ; 1999 ; 8 ; 6
946 ; Manolo Gabbiadini ; ITA ; FWMF ; Sampdoria ; Serie A ; 30 ; 1991 ; 18 ; 15
947 ; Mijat Ga?inovi? ; SRB ; FWDF ; Hoffenheim ; Bundesliga ; 27 ; 1995 ; 4 ; 1
948 ; Gianluca Gaetano ; ITA ; MF ; Napoli ; Serie A ; 22 ; 2000 ; 2 ; 0
949 ; Luca Gagliano ; ITA ; MFDF ; Cagliari ; Serie A ; 21 ; 2000 ; 2 ; 0
950 ; Roberto Gagliardini ; ITA ; MF ; Inter ; Serie A ; 28 ; 1994 ; 18 ; 6
951 ; Riccardo Gagliolo ; SWE ; DF ; Salernitana ; Serie A ; 32 ; 1990 ; 17 ; 12
952 ; Javi Galán ; ESP ; DF ; Celta Vigo ; La Liga ; 27 ; 1994 ; 37 ; 37
953 ; Ińigo Ruiz de Galarreta ; ESP ; MF ; Mallorca ; La Liga ; 28 ; 1993 ; 22 ; 17
954 ; Nicolas Galazzi ; ITA ; DF ; Venezia ; Serie A ; 21 ; 2000 ; 1 ; 0
955 ; Pablo Galdames Millán ; CHI ; MF ; Genoa ; Serie A ; 25 ; 1996 ; 19 ; 11
956 ; Thiago Galhardo ; BRA ; FWMF ; Celta Vigo ; La Liga ; 32 ; 1989 ; 31 ; 9
957 ; Conor Gallagher ; ENG ; MF ; Crystal Palace ; Premier League ; 22 ; 2000 ; 34 ; 33
958 ; Gauthier Gallon ; FRA ; GK ; Troyes ; Ligue 1 ; 29 ; 1993 ; 31 ; 31
959 ; Cristian Gamboa ; CRC ; DF ; Bochum ; Bundesliga ; 32 ; 1989 ; 23 ; 20
960 ; Kévin Gameiro ; FRA ; FW ; Strasbourg ; Ligue 1 ; 35 ; 1987 ; 35 ; 28
961 ; Idrissa Gana Gueye ; SEN ; MF ; Paris S-G ; Ligue 1 ; 32 ; 1989 ; 26 ; 18
962 ; Ignatius Ganago ; CMR ; FW ; Lens ; Ligue 1 ; 23 ; 1999 ; 28 ; 11
963 ; Silvčre Ganvoula M'Boussy ; CGO ; FW ; Bochum ; Bundesliga ; 25 ; 1996 ; 9 ; 0
964 ; Álvaro García ; ESP ; FW ; Rayo Vallecano ; La Liga ; 29 ; 1992 ; 36 ; 34
965 ; Dani García ; ESP ; MF ; Athletic Club ; La Liga ; 32 ; 1990 ; 32 ; 27
966 ; David García ; ESP ; DF ; Osasuna ; La Liga ; 28 ; 1994 ; 35 ; 35
967 ; Eric García ; ESP ; DF ; Barcelona ; La Liga ; 21 ; 2001 ; 26 ; 23
968 ; Francisco Garcia ; ESP ; DF ; Rayo Vallecano ; La Liga ; 22 ; 1999 ; 34 ; 34
969 ; Joan García ; ESP ; GK ; Espanyol ; La Liga ; 21 ; 2001 ; 2 ; 1
970 ; Manu García ; ESP ; MF ; Alavés ; La Liga ; 24 ; 1998 ; 24 ; 10
971 ; Raúl García ; ESP ; FW ; Athletic Club ; La Liga ; 35 ; 1986 ; 35 ; 24
972 ; Rubén García ; ESP ; FWMF ; Osasuna ; La Liga ; 28 ; 1993 ; 37 ; 30
973 ; Saúl García ; ESP ; FW ; Alavés ; La Liga ; 27 ; 1994 ; 1 ; 0
974 ; Unai García ; ESP ; DF ; Osasuna ; La Liga ; 30 ; 1992 ; 18 ; 15
